IR,IY,IB,VR,VY,VB,L1,L2,L3,L4,L5,L6,L7,L8
3.745401188473625,3.745401188473625,3.745401188473625,221.85132928838618,221.85132928838618,221.85132928838618,0,1,0,0,0,1,0,1
9.50714306409916,9.50714306409916,9.50714306409916,225.41900947378358,225.41900947378358,225.41900947378358,1,0,1,0,0,0,1,0
7.319939418114051,7.319939418114051,7.319939418114051,228.72945835876408,228.72945835876408,228.72945835876408,1,0,1,0,0,0,1,0
5.986584841970366,5.986584841970366,5.986584841970366,227.3222488640956,227.3222488640956,227.3222488640956,1,0,1,0,0,0,1,0
1.5601864044243652,1.5601864044243652,1.5601864044243652,228.0656114786145,228.0656114786145,228.0656114786145,0,0,1,1,0,1,0,0
1.5599452033620265,1.5599452033620265,1.5599452033620265,226.58783366710716,226.58783366710716,226.58783366710716,0,0,1,1,0,1,0,0
0.5808361216819946,0.5808361216819946,0.5808361216819946,226.92276564517852,226.92276564517852,226.92276564517852,0,0,1,1,0,1,0,0
8.661761457749352,8.661761457749352,8.661761457749352,228.4919565156532,228.4919565156532,228.4919565156532,1,0,1,0,0,0,1,0
6.011150117432088,6.011150117432088,6.011150117432088,222.49668008859186,222.49668008859186,222.49668008859186,0,0,1,0,1,1,0,0
7.080725777960454,7.080725777960454,7.080725777960454,224.8942496364314,224.8942496364314,224.8942496364314,0,0,1,0,1,1,0,0
0.20584494295802447,0.20584494295802447,0.20584494295802447,222.21209441819602,222.21209441819602,222.21209441819602,0,1,0,0,0,1,0,1
9.699098521619943,9.699098521619943,9.699098521619943,229.87668007996646,229.87668007996646,229.87668007996646,1,0,1,0,0,0,1,0
8.324426408004218,8.324426408004218,8.324426408004218,229.44059339686612,229.44059339686612,229.44059339686612,1,0,1,0,0,0,1,0
2.1233911067827616,2.1233911067827616,2.1233911067827616,220.39426811368506,220.39426811368506,220.39426811368506,0,1,0,0,0,1,0,1
1.8182496720710062,1.8182496720710062,1.8182496720710062,227.05575172515688,227.05575172515688,227.05575172515688,0,0,1,1,0,1,0,0
1.8340450985343382,1.8340450985343382,1.8340450985343382,229.25248317415665,229.25248317415665,229.25248317415665,0,0,1,1,0,1,0,0
3.0424224295953772,3.0424224295953772,3.0424224295953772,221.80575345127335,221.80575345127335,221.80575345127335,0,1,0,0,0,1,0,1
5.247564316322379,5.247564316322379,5.247564316322379,225.6794523055263,225.6794523055263,225.6794523055263,1,0,1,0,0,0,1,0
4.319450186421157,4.319450186421157,4.319450186421157,229.1548829758804,229.1548829758804,229.1548829758804,0,0,1,1,0,1,0,0
2.9122914019804194,2.9122914019804194,2.9122914019804194,220.339459785858,220.339459785858,220.339459785858,0,1,0,0,0,1,0,1
6.118528947223795,6.118528947223795,6.118528947223795,226.9742026724684,226.9742026724684,226.9742026724684,1,0,1,0,0,0,1,0
1.3949386065204183,1.3949386065204183,1.3949386065204183,222.97349007372551,222.97349007372551,222.97349007372551,0,1,0,0,0,1,0,1
2.9214464853521815,2.9214464853521815,2.9214464853521815,229.2439619537653,229.2439619537653,229.2439619537653,0,0,1,1,0,1,0,0
3.663618432936917,3.663618432936917,3.663618432936917,229.7105824516537,229.7105824516537,229.7105824516537,0,0,1,1,0,1,0,0
4.56069984217036,4.56069984217036,4.56069984217036,229.44266489113434,229.44266489113434,229.44266489113434,0,0,1,1,0,1,0,0
7.851759613930136,7.851759613930136,7.851759613930136,224.74214216657464,224.74214216657464,224.74214216657464,0,0,1,0,1,1,0,0
1.9967378215835974,1.9967378215835974,1.9967378215835974,228.62042650989312,228.62042650989312,228.62042650989312,0,0,1,1,0,1,0,0
5.142344384136116,5.142344384136116,5.142344384136116,228.4454939853507,228.4454939853507,228.4454939853507,1,0,1,0,0,0,1,0
5.924145688620425,5.924145688620425,5.924145688620425,223.19100473243256,223.19100473243256,223.19100473243256,0,0,1,0,1,1,0,0
0.46450412719997725,0.46450412719997725,0.46450412719997725,228.28915474150676,228.28915474150676,228.28915474150676,0,0,1,1,0,1,0,0
