IR,IY,IB,VR,VY,VB,Power,L1,L2,L3,L4,L5,L6,L7,L8
5.676037394485054,5.676037394485054,5.676037394485054,220.62351432262028,220.62351432262028,220.62351432262028,1252.2673173979017,0,0,1,0,1,1,0,0
4.4223275092805725,4.4223275092805725,4.4223275092805725,219.890075486644,219.890075486644,219.890075486644,972.4259298423675,0,1,0,0,0,1,0,0
4.224201750250228,4.224201750250228,4.224201750250228,224.64372955315721,224.64372955315721,224.64372955315721,948.9404355611856,0,0,0,0,0,1,0,0
9.607993933134953,9.607993933134953,9.607993933134953,225.30445861602516,225.30445861602516,225.30445861602516,2164.723871491025,0,0,1,0,0,0,0,0
1.1177747987344375,1.1177747987344375,1.1177747987344375,226.35952442245585,226.35952442245585,226.35952442245585,253.0189718529336,0,0,1,1,0,1,0,0
6.445296830664275,6.445296830664275,6.445296830664275,225.256030840292,225.256030840292,225.256030840292,1451.8419816629482,0,0,1,0,0,0,0,0
0.04420477148978481,0.04420477148978481,0.04420477148978481,220.20127382131753,220.20127382131753,220.20127382131753,9.733946991030875,0,1,0,0,0,1,0,1
7.064642983520669,7.064642983520669,7.064642983520669,227.04082212286966,227.04082212286966,227.04082212286966,1603.9623509830956,1,0,1,0,0,0,1,0
7.322834975313023,7.322834975313023,7.322834975313023,222.18437972857103,222.18437972857103,222.18437972857103,1627.0195468446097,0,0,1,0,1,1,0,0
2.7365388919281113,2.7365388919281113,2.7365388919281113,223.0540919447317,223.0540919447317,223.0540919447317,610.3961976104672,0,1,0,0,0,1,0,0
5.780587955471415,5.780587955471415,5.780587955471415,227.9191542166286,227.9191542166286,227.9191542166286,1317.5067176858752,1,0,1,0,0,0,0,0
5.880383602697541,5.880383602697541,5.880383602697541,226.05308685836292,226.05308685836292,226.05308685836292,1329.2788653010803,1,0,1,0,0,0,0,0
2.3780088099935117,2.3780088099935117,2.3780088099935117,225.81717668040457,225.81717668040457,225.81717668040457,536.9952355938634,0,0,1,1,0,1,0,0
9.834485759036484,9.834485759036484,9.834485759036484,226.45072109910018,226.45072109910018,226.45072109910018,2227.0263917726434,1,0,1,0,0,0,0,0
5.066683661794183,5.066683661794183,5.066683661794183,229.4218168433029,229.4218168433029,229.4218168433029,1162.4077710591005,0,0,1,0,0,0,0,0
7.492828082029936,7.492828082029936,7.492828082029936,222.40918787021894,222.40918787021894,222.40918787021894,1666.4738085754484,0,0,1,0,1,1,0,0
5.489048616433112,5.489048616433112,5.489048616433112,225.42879084877566,225.42879084877566,225.42879084877566,1237.3895925126615,0,0,1,0,0,0,0,0
7.033808212749984,7.033808212749984,7.033808212749984,227.05540338105928,227.05540338105928,227.05540338105928,1597.0641610509554,1,0,1,0,0,0,1,0
3.530350867373627,3.530350867373627,3.530350867373627,229.51562516383916,229.51562516383916,229.51562516383916,810.2706863729599,0,0,1,1,0,1,0,0
7.568328512630304,7.568328512630304,7.568328512630304,226.6618556260845,226.6618556260845,226.6618556260845,1715.4513846605887,1,0,1,0,0,0,0,0
8.692450928760278,8.692450928760278,8.692450928760278,223.45781738487415,223.45781738487415,223.45781738487415,1942.396112265894,0,0,1,0,1,1,0,0
8.996617523138141,8.996617523138141,8.996617523138141,227.89524017929796,227.89524017929796,227.89524017929796,2050.2863112368473,1,0,1,0,0,0,1,0
0.0012642455179608242,0.0012642455179608242,0.0012642455179608242,222.31864419815847,222.31864419815847,222.31864419815847,0.281065349486649,0,1,0,0,0,1,0,1
7.938003814421856,7.938003814421856,7.938003814421856,228.48309710996622,228.48309710996622,228.48309710996622,1813.6996963898314,1,0,1,0,0,0,1,0
8.704761563521425,8.704761563521425,8.704761563521425,220.77191582462646,220.77191582462646,220.77191582462646,1921.7668871751957,0,0,1,0,1,1,0,0
5.344709880780037,5.344709880780037,5.344709880780037,224.0663944715627,224.0663944715627,224.0663944715627,1197.5698724829185,0,0,1,0,0,1,0,0
9.082093625260942,9.082093625260942,9.082093625260942,227.86655670168113,227.86655670168113,227.86655670168113,2069.505402030499,1,0,1,0,0,0,1,0
8.860525727987595,8.860525727987595,8.860525727987595,222.4300564444709,222.4300564444709,222.4300564444709,1970.8472378039671,0,0,1,0,1,1,0,0
1.2085869038797505,1.2085869038797505,1.2085869038797505,223.0845472295498,223.0845472295498,223.0845472295498,269.6170622395776,0,1,0,0,0,1,0,0
6.322572920425116,6.322572920425116,6.322572920425116,222.55916855257092,222.55916855257092,222.55916855257092,1407.1465722828138,0,0,1,0,1,1,0,0
